 ,Area,Min,Max
273,271,0,0
274,369,0,0
275,396,0,0
276,281,0,0
277,386,0,0
278,342,0,0
279,291,0,0
280,392,0,0
281,458,0,0
282,400,0,0
283,283,0,0
284,341,0,0
285,238,0,0
286,272,0,0
287,485,0,0
288,230,0,0
289,297,0,0
290,311,0,0
291,461,0,0
292,395,0,0
293,437,0,0
294,448,0,0
295,235,0,0
296,415,0,0
297,486,0,0
298,397,0,0
299,324,0,0
300,351,0,0
301,468,0,0
302,272,0,0
303,310,0,0
304,338,0,0
305,230,0,0
306,412,0,0
307,225,0,0
308,329,0,0
309,250,0,0
310,371,0,0
311,250,0,0
312,330,0,0
313,302,0,0
314,270,0,0
315,347,0,0
316,327,0,0
317,433,0,0
318,423,0,0
319,290,0,0
320,191,0,0
321,206,0,0
322,483,0,0
323,298,0,0
324,238,0,0
325,371,0,0
326,325,0,0
327,306,0,0
328,413,0,0
329,220,0,0
330,496,0,0
331,293,0,0
332,323,0,0
333,374,0,0
334,392,0,0
335,289,0,0
336,397,0,0
337,362,0,0
338,237,0,0
339,414,0,0
340,390,0,0
341,341,0,0
342,251,0,0
343,349,0,0
344,374,0,0
345,278,0,0
346,303,0,0
347,260,0,0
348,394,0,0
349,377,0,0
350,332,0,0
351,350,0,0
352,268,0,0
353,334,0,0
354,394,0,0
355,226,0,0
356,477,0,0
357,376,0,0
358,360,0,0
359,190,0,0
360,388,0,0
361,388,0,0
362,218,0,0
363,433,0,0
364,492,0,0
365,375,0,0
366,364,0,0
367,456,0,0
368,248,0,0
369,286,0,0
370,293,0,0
371,402,0,0
372,378,0,0
373,387,0,0
374,393,0,0
375,282,0,0
376,486,0,0
377,311,0,0
378,431,0,0
379,367,0,0
380,381,0,0
381,368,0,0
382,315,0,0
383,216,0,0
384,334,0,0
385,313,0,0
386,367,0,0
387,266,0,0
388,294,0,0
389,244,0,0
390,210,0,0
391,337,0,0
392,361,0,0
393,237,0,0
394,376,0,0
395,300,0,0
396,340,0,0
397,362,0,0
